director
Colin Trevorrow
George Miller
Robert Schwentke
J.J. Abrams
James Wan
Alejandro GonzÃ¡lez IÃ±Ã¡rritu
Alan Taylor
Ridley Scott
Kyle Balda
Pierre Coffin
Pete Docter
Sam Mendes
Lana Wachowski
Lilly Wachowski
Alex Garland
Chris Columbus
Joss Whedon
Quentin Tarantino
Olivier Megaton
Peyton Reed
Kenneth Branagh
Francis Lawrence
Brad Bird
Antoine Fuqua
Brad Peyton
Sam TaylorJohnson
Adam McKay
Christopher McQuarrie
Seth MacFarlane
Matthew Vaughn
Tom McCarthy
Wes Ball
Bill Condon
Neill Blomkamp
Elizabeth Banks
Steven Spielberg
Rob Letterman
Lenny Abrahamson
Afonso Poyart
Peter Sohn
Jaume ColletSerra
John Crowley
F. Gary Gray
Breck Eisner
Danny Boyle
Guy Ritchie
Lee Toland Krieger
Ilya Naishuller
Tim Johnson
Jake Schreier
Simon West
Yorgos Lanthimos
Todd Haynes
Nancy Meyers
Baltasar KormÃ¡kur
David O. Russell
Ericson Core
John Wells
Tarsem Singh
David Koepp
Tom Hooper
Michael Mann
Denis Villeneuve
Josh Trank
Robert Eggers
Paul Feig
Glenn Ficarra
John Requa
Aleksander Bach
Ron Howard
James McTeigue
Ryan Coogler
Judd Apatow
Gavin Hood
Brian Helgeland
JeanBaptiste LÃ©onetti
Joe Wright
Anne K. Black
Alfonso GomezRejon
Steve Martino
Peter Landesman
Jonathan Levine
Eli Roth
George Tillman
Genndy Tartakovsky
Jessie Nelson
Robert Zemeckis
Daniel Benmayor
John Francis Daley
Jonathan M. Goldstein
Gil Kenan
Henry Hobson
Drake Doremus
Daniel Espinosa
Joel Edgerton
Sean Anders
A. Todd Smith
Brian A Miller
Mark Osborne
Walt Becker
Jocelyn Moorhouse
Ari Sandel
Ciaran Foy
Andy Fickman
Chris Buck
Jennifer Lee
Ben Wheatley
Rob Cohen
Bharat Nalluri
Doug Ellin
Jeremy Garelick
Christopher B. Landon
M. Night Shyamalan
Scott Cooper
Scott Mann
Michael Dougherty
Gilles PaquetBrenner
John Erick Dowdle
Rick Famuyiwa
Nima Nourizadeh
Simon Curtis
Mike Elliott
Jason Moore
Dean Israelite
Terry Jones
Camille Delamarre
Guillermo del Toro
Joe Lynch
Gregory Jacobs
Gregory Plotkin
John Maclean
Jay Roach
Billy Ray
Noah Baumbach
Paul Tibbitt
Rupert Goold
Boaz Yakin
Mark Burton
Richard Starzack
Joachim Trier
Fernando LeÃ³n de Aranoa
Pierre Morel
Levan Gabriadze
Anne Fletcher
Leigh Whannell
Craig Zobel
Colin Teague
Nicholas Hytner
Paul McGuigan
Gerado Olivares
Otmar Penker
Duke Johnson
Charlie Kaufman
S. Craig Zahler
Alejandro AmenÃ¡bar
Edward Zwick
Matt Brown
Stephen S. Campanelli
Marielle Heller
Uli Edel
Marjane Satrapi
Kazuaki Kiriya
Matteo Garrone
Woody Allen
Werner Herzog
Jonathan Demme
Catherine Hardwicke
David Sandberg
David M. Rosenthal
Luca Guadagnino
Noah Baumbach
Etan Cohen
Daniel Alfredson
Frank Coraci
